"Q1A","Q2A","Q3A","Q6A","Q7A","Q8A","Q11A","Q12A","Q13A","Q14A","Q15A","Q16A","Q18A","Q19A","Q20A","Q23A","Q24A","Q25A","Q27A","Q28A","Q30A"
4,4,2,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,3,2
4,1,2,4,3,4,2,2,4,4,3,3,2,1,1,1,2,2,3,4,3
3,1,4,3,1,3,2,1,4,1,4,4,2,2,1,2,4,2,2,1,2
2,3,2,3,4,2,2,1,1,4,2,2,1,1,2,1,1,1,4,1,3
2,2,3,2,4,4,2,4,4,4,4,3,4,4,4,4,2,4,2,4,4
1,1,2,1,1,3,1,2,1,3,2,4,1,1,2,1,2,1,1,1,2
1,1,2,1,3,3,1,2,2,2,3,4,2,1,3,3,3,2,1,2,3
1,1,1,2,2,1,2,1,1,2,2,1,2,1,2,1,1,2,2,1,1
4,4,3,4,4,4,4,4,4,3,4,4,4,4,4,4,3,2,2,4,3
3,2,4,4,3,4,4,4,4,4,2,4,1,4,4,1,4,3,4,4,3
3,1,2,3,1,3,3,2,2,4,2,3,3,1,1,1,3,1,3,1,2
3,3,2,3,1,3,3,3,3,3,1,1,2,4,3,1,2,3,2,2,3
1,1,1,2,1,3,3,2,3,4,1,3,2,4,2,1,2,1,3,1,3
1,4,1,1,1,3,2,1,4,1,1,3,3,1,1,2,3,1,2,3,3
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3,1,2,1,1,1,2,1,2,3,1,2,3,1,1,2,2,1,3,1,1
3,1,2,3,1,3,3,3,3,1,1,1,3,1,3,1,2,1,4,3,3
3,1,2,3,1,2,2,1,2,2,1,3,2,2,1,1,2,1,2,1,1
3,2,2,1,1,2,1,1,1,4,1,3,2,1,1,1,3,2,2,1,1
2,2,2,3,1,1,2,1,3,1,1,2,4,2,4,1,3,1,3,1,2
3,1,2,3,1,2,4,1,3,2,1,1,4,2,1,1,1,1,2,1,1
3,1,2,3,1,3,3,1,2,3,2,3,3,1,1,1,4,1,4,1,1
3,2,3,3,4,4,3,3,4,2,2,3,3,2,4,2,3,3,3,3,3
3,2,2,4,1,2,3,2,3,4,1,2,2,1,3,1,2,1,2,3,2
2,3,2,2,2,2,2,2,3,2,2,3,2,3,1,2,2,2,2,3,2
4,1,4,3,3,4,4,3,4,3,2,4,3,2,4,2,4,4,4,4,4
4,4,4,4,4,3,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4
2,2,1,2,4,1,2,4,3,2,3,3,1,4,4,1,4,3,4,3,1
4,3,4,3,4,3,4,4,4,1,4,4,4,4,4,3,4,4,4,4,4
1,1,2,1,1,1,1,1,1,1,2,3,1,1,1,1,3,1,1,1,1
2,2,3,3,1,3,3,4,3,2,1,2,4,1,4,2,4,3,3,3,2
2,2,2,2,1,1,2,2,4,2,1,2,1,3,2,2,3,1,1,1,1
2,2,1,2,1,3,3,3,2,2,1,1,2,1,1,2,1,1,2,1,1
2,1,2,3,2,2,4,1,2,3,1,2,2,2,1,1,2,2,4,1,1
1,1,2,1,1,2,3,4,2,2,1,3,2,1,1,1,2,1,3,2,2
1,3,1,1,2,2,3,3,2,1,1,3,2,1,2,2,2,1,2,1,1
4,1,1,4,3,2,4,4,3,2,3,2,2,1,4,2,4,4,3,4,2
1,1,2,1,1,4,2,3,2,1,1,1,1,2,1,3,2,3,2,1,2
2,2,3,2,2,3,4,2,4,3,2,3,2,1,3,2,3,3,4,2,1
2,1,1,2,1,1,3,1,1,2,1,2,1,1,1,1,1,2,2,1,1
1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1
3,1,3,3,1,4,4,3,3,2,1,3,4,1,2,1,4,1,3,2,2
2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,2,3,2,1
3,2,2,3,1,2,3,2,2,3,1,2,3,3,1,1,3,2,3,1,3
3,1,1,1,1,2,2,1,2,3,1,2,1,1,1,1,2,1,2,1,1
3,1,3,3,1,3,3,2,4,3,1,2,3,2,1,1,3,1,4,2,2
1,2,1,1,1,2,2,1,2,1,1,2,2,3,1,1,1,2,2,2,2
4,1,4,4,2,4,3,4,4,1,1,3,3,2,3,4,3,2,3,3,1
4,1,4,4,1,4,3,4,4,1,2,2,2,1,3,1,3,2,3,3,2
4,1,1,2,1,2,4,4,2,1,1,2,1,1,1,1,2,3,2,1,1
2,1,3,2,1,2,3,3,4,1,4,4,4,1,3,1,3,2,3,2,2
3,2,4,2,3,4,3,2,4,3,2,3,2,2,2,2,3,2,3,3,3
1,1,3,1,1,2,1,2,3,1,1,4,3,1,2,2,3,2,1,1,3
3,1,1,4,4,3,2,4,2,3,2,1,3,1,3,1,2,3,2,4,2
1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,1,1
3,1,4,3,2,1,4,3,4,1,1,4,1,1,1,1,4,1,3,1,2
2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,1,1,2,2,1,1
2,3,2,3,1,2,2,3,2,3,2,2,2,3,1,3,2,2,3,2,2
4,4,4,1,3,1,4,4,4,3,4,4,3,2,4,4,2,1,4,4,4
2,1,1,2,2,1,1,1,2,2,2,1,1,1,2,1,1,2,2,1,2
1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,2
2,2,3,2,1,2,3,2,4,3,2,2,4,2,3,1,2,2,2,2,2
3,2,3,4,2,2,4,2,3,3,2,3,3,2,2,2,3,1,2,2,2
1,1,2,1,1,3,1,1,2,3,1,1,1,2,1,1,2,1,1,1,1
3,1,4,3,1,2,3,1,3,3,1,2,1,1,1,1,3,4,1,1,4
2,1,2,2,1,3,2,2,4,2,1,3,3,1,2,2,3,1,2,2,1
1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2,1,2,3,2,2,3,3,3,1,1,2,1,1,3,1,2,2,1,3,3
3,4,3,2,3,3,2,4,4,2,3,4,3,3,3,4,4,3,2,3,4
3,1,1,2,1,2,2,3,1,2,2,1,3,1,2,1,2,3,3,2,2
3,1,2,3,1,2,3,3,2,1,1,1,4,3,3,1,2,1,3,2,3
1,2,3,1,1,3,1,1,3,2,2,3,1,2,1,1,2,1,1,1,1
3,4,4,2,4,4,4,4,4,4,2,4,4,4,4,2,4,4,4,3,3
2,1,2,2,1,2,2,3,2,2,1,3,2,1,2,1,2,1,2,2,2
